House Number;Street Name;Community;Zip Code;Unit Type;Unit;Floor Type;Floor;Building Type;Building;DA/PSA;OVALS Address ID;Primary_Term_Address;FAC_ADDR;Working TN Status
7711;NW 23RD ST;MRGT;33063;;;;;;;121404;000006P32S;R 7701 NW 23RD ST;7711 NW 23RD ST;
7720;NW 23RD ST;MRGT;33063;;;;;;;121404;000006OPV3;S 7720 NW 23RD ST;7720 NW 23RD ST;
7721;NW 23RD ST;MRGT;33063;;;;;;;121404;000006P7J3;R 7721 NW 23RD ST;7721 NW 23RD ST;
7731;NW 23RD ST;MRGT;33063;;;;;;;121404;000006OWKN;R 7721 NW 23RD ST;7731 NW 23RD ST;
7741;NW 23RD ST;MRGT;33063;;;;;;;121404;000006PF29;R 7741 NW 23RD ST;7741 NW 23RD ST;
7751;NW 23RD ST;MRGT;33063;;;;;;;121404;000006OU72;R 7741 NW 23RD ST;7751 NW 23RD ST;
7761;NW 23RD ST;MRGT;33063;;;;;;;121404;000006OYKY;F 7771 NW 23RD ST;7761 NW 23RD ST;
7771;NW 23RD ST;MRGT;33063;;;;;;;121404;000006OYT8;F 7771 NW 23RD ST;7771 NW 23RD ST;
2104;NW 73RD AV;MRGT;33063;;;;;;;121404;000006OZSV;S 7398 NW 22ND PL;2104 NW 73RD AV;
2123;NW 73RD AV;MRGT;33063;;;;;;;121404;000006P9UL;F 2133 NW 73RD AV;2123 NW 73RD AV;
2133;NW 73RD AV;MRGT;33063;;;;;;;121404;000006P70Q;F 2133 NW 73RD AV;2133 NW 73RD AV;
2172;NW 73RD AV;MRGT;33063;;;;;;;121404;000006OR6D;F 2172 NW 73RD AV;2172 NW 73RD AV;
2173;NW 73RD AV;MRGT;33063;;;;;;;121404;000006PB1J;S 7406 NW 22ND ST;2173 NW 73RD AV;
2183;NW 73RD AV;MRGT;33063;;;;;;;121404;000006PEMO;S 7406 NW 22ND ST;2183 NW 73RD AV;
2192;NW 73RD AV;MRGT;33063;;;;;;;121404;000006P1VB;F 2212 NW 73RD AV;2192 NW 73RD AV;
2212;NW 73RD AV;MRGT;33063;;;;;;;121404;000006OZX7;F 2212 NW 73RD AV;2212 NW 73RD AV;
2232;NW 73RD AV;MRGT;33063;;;;;;;121404;000006OWV6;F 2252 NW 73RD AV;2232 NW 73RD AV;
2252;NW 73RD AV;MRGT;33063;;;;;;;121404;000006P4MA;F 2252 NW 73RD AV;2252 NW 73RD AV;
2272;NW 73RD AV;MRGT;33063;;;;;;;121404;000006P7M7;F 2272 NW 73RD AV;2272 NW 73RD AV;
2292;NW 73RD AV;MRGT;33063;;;;;;;121404;000006PB20;F 2272 NW 73RD AV;2292 NW 73RD AV;
2102;NW 73RD LN;MRGT;33063;;;;;;;121404;000006OXF0;F 2102 NW 73RD LN;2102 NW 73RD LN;
